CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
16-Mar,1641758,969164,0.59,1059111,582647,550445,0.94,1380794,505045,9531451,7473473,0.78,616747,0.06,2.2721288,2274710,5168434
16-Feb,1598060,962813,0.6,1015602,582458,551749,0.95,1344487,475966,9501460,7528731,0.79,601431,0.06,2.2576557,2301742,5196541
16-Jan,1597911,947813,0.59,1031928,565983,535774,0.95,1342485,489298,9374648,7415963,0.79,624165,0.07,2.2923264,2243208,5142165
15-Dec,1595762,936397,0.59,1050019,545743,516973,0.95,1334987,501690,8971985,7020770,0.78,609564,0.07,2.2661562,2141122,4852117
15-Nov,1623242,979726,0.6,1033601,589641,558153,0.95,1373149,482954,9716978,7734681,0.8,642444,0.07,2.269452,2356030,5346897
15-Oct,1660495,1008665,0.61,1061978,598517,566317,0.95,1404403,489541,9819155,7771027,0.79,655394,0.07,2.2614719,2373100,5366699
15-Sep,1612957,982969,0.61,1023763,589194,557967,0.95,1365729,472760,9902583,7780284,0.79,680785,0.07,2.2683227,2371622,5379604
15-Aug,1517430,917972,0.6,986400,531030,503831,0.95,1284766,455093,8564253,6747726,0.79,574785,0.07,2.2412915,2073542,4647412
15-Jul,1665459,1027107,0.62,1056539,608920,577258,0.95,1411859,482645,9988832,7858309,0.79,669421,0.07,2.2665822,2395831,5430348
15-Jun,1631549,1004469,0.62,1031419,600130,569743,0.95,1382703,473174,10027010,7922440,0.79,663923,0.07,2.24267,2433342,5457183
15-May,1549830,933407,0.6,1011522,538308,511110,0.95,1316717,471937,8713709,6896069,0.79,574700,0.07,2.2731364,2098197,4769488
15-Apr,1545155,935986,0.61,990745,554410,526331,0.95,1309762,464662,9186597,7286985,0.79,606470,0.07,2.3070738,2188780,5049677
15-Mar,1641578,1001810,0.61,1042240,599338,568123,0.95,1395992,483397,9468183,7579144,0.8,636175,0.1,2.3031969,2284146,5260838
15-Feb,1480630,907625,0.61,943806,536824,509928,0.95,1255228,431359,8571154,6857941,0.8,574412,0.1,2.3183591,2056907,4768649
15-Jan,1572128,942985,0.6,1017723,554405,526554,0.95,1323065,471515,9152749,7295473,0.8,641340,0.1,2.3254189,2183936,5078566
14-Dec,1564225,907710,0.58,1044711,519514,492710,0.95,1314576,499204,8558088,6743490,0.8,607128,0.1,2.2810859,2051177,4678911
14-Nov,1548034,936752,0.61,1002242,545792,517869,0.95,1320448,465353,8849249,7099120,0.8,614830,0.1,2.2862664,2156540,4930425
14-Oct,1646172,1008998,0.61,1059004,587168,556970,0.95,1402219,483453,9666947,7702577,0.8,672113,0.1,2.2845815,2342693,5352073
14-Sep,1571544,962756,0.61,1011813,559731,531215,0.95,1339458,462154,9377011,7456610,0.8,661864,0.1,2.2815891,2267407,5173291
14-Aug,1469553,890603,0.61,969458,500095,475774,0.95,1248078,442377,7942506,6315225,0.8,565021,0.1,2.2947358,1912109,4387785
14-Jul,1627591,999809,0.61,1049661,577930,549357,0.95,1383165,478134,9513332,7601588,0.8,669386,0.1,2.2808792,2309178,5266956
14-Jun,1545674,941619,0.61,1003888,541786,515910,0.95,1312173,461137,8965598,7198496,0.8,630476,0.1,2.2694279,2194509,4980280
14-May,1552142,933352,0.6,1024638,527504,501667,0.95,1316346,475613,8562573,6897413,0.8,591879,0.1,2.2953309,2085989,4788035
14-Apr,1512716,907894,0.6,989730,522986,497358,0.95,1281709,462011,8561033,6884624,0.8,578325,0.1,2.3216082,2065594,4795500
14-Mar,1575227,951986,0.6,1025931,549296,522393,0.95,1339806,473344,8501486,6903235,0.8,562935,0.1,2.3165634,2080484,4819573
14-Feb,1454296,883981,0.61,941944,512352,486913,0.95,1237303,431233,8025073,6520159,0.8,535510,0.1,2.3446626,1948616,4568847
14-Jan,1587637,965578,0.61,1024755,562882,535827,0.95,1347836,471403,9009367,7311546,0.8,624284,0.1,2.3833058,2160265,5148572
13-Dec,1473687,857010,0.58,997801,475886,452484,0.95,1245439,473900,7628994,6106443,0.8,545377,0.1,2.3406693,1826930,4276239
13-Nov,1525320,934315,0.61,986028,539292,513209,0.95,1301594,447993,8610288,6982538,0.8,592544,0.1,2.3553202,2079927,4898894
13-Oct,1591399,977661,0.61,1026740,564659,537581,0.95,1356817,463341,9251066,7430950,0.8,646898,0.1,2.3532966,2214921,5212366
13-Sep,1474508,899977,0.61,960088,514420,489483,0.95,1258262,433238,8533330,6808409,0.8,617082,0.1,2.3401703,2037585,4768296
13-Aug,1458656,888019,0.61,961458,497198,473733,0.95,1242409,434416,7902354,6310808,0.8,560844,0.1,2.3609377,1877097,4431709
13-Jul,1574532,968366,0.62,1015493,559039,532242,0.95,1342775,458387,9147035,7355980,0.8,645123,0.1,2.3307377,2207837,5145889
13-Jun,1445401,884603,0.61,944551,500850,477420,0.95,1234255,426921,8169029,6575054,0.8,576204,0.1,2.3288027,1974546,4598328
13-May,1520070,925257,0.61,992763,527307,502329,0.95,1295036,453329,8530918,6878931,0.8,597540,0.1,2.3457762,2055396,4821499
13-Apr,1482368,893005,0.6,964081,518287,493729,0.95,1260525,447957,8535884,6876369,0.8,591498,0.1,2.3676577,2041249,4832979
13-Mar,1487648,880445,0.59,986775,500873,476024,0.95,1269079,457769,7613249,6080461,0.8,545482,0.1,2.3488682,1815663,4264753
13-Feb,1394629,847343,0.61,899512,495117,471304,0.95,1189851,409040,7592814,6113660,0.8,535664,0.1,2.3416123,1829545,4284085
13-Jan,1520842,914621,0.6,985447,535395,508969,0.95,1292800,452663,8470126,6697049,0.8,658490,0.1,2.3401959,2004980,4692046
12-Dec,1405834,806188,0.57,962042,443792,421690,0.95,1194948,456062,6755998,5366462,0.8,510722,0.1,2.3009717,1625711,3740715
12-Nov,1533541,933004,0.61,987902,545639,519017,0.95,1314993,449418,8347990,6749622,0.8,599244,0.1,2.3325759,2025336,4724250
12-Oct,1578814,957251,0.61,1021090,557724,530090,0.95,1351915,461498,8750092,7057414,0.8,633593,0.1,2.2898263,2145202,4912140
